1. Âge :,2. Genre :,3. Dans quelle région êtes-vous basé(e) ?,4. Profession : ,5. A quel type d'établissement appartenez-vous ?,6. Niveau déducation  :,7. Votre moyenne l'année précédente :,1. Avez-vous déjà entendu parler de l'intelligence artificielle (IA) ?,2. Comment évalueriez-vous votre niveau de connaissance de l'IA ?,3. Avez-vous suivi une formation ou un cours sur l'IA ?,"1. Êtes-vous satisfait(e) de la qualité de l’enseignement dans votre établissement (lycée, collège ou faculté) ?     ",2. À quel niveau l’IA est-elle utilisée dans votre environnement éducatif ?,"3. Sur une échelle de 1 à 5, pensez-vous que l’IA améliore la qualité de l’éducation?",4. Quels outils d’IA utilisez-vous pour préparer vos cours ou évaluer les élèves ?(Pour Enseignant),5. Comment percevez-vous l’impact de l’IA sur la méthode d’enseignement ? ,"1. Quels avantages voyez-vous dans l’utilisation de l’IA dans l’éducation ?",2. Avez-vous déjà utilisé un outil d’IA pour compléter un projet académique?,"3. Quels risques pensez-vous que l’IA peut apporter dans l’éducation ?",4.  Avez-vous déjà utilisé un outil d’IA pour obtenir des réponses pendant un examen?
18-25 ans,Masculin,Kasserine,Étudiant(e),Public,Universitaire (Master),10.90,Oui,Connaissance de base,Oui,Non,Utilisée pour certaines tâches,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Remplacement partiel des enseignants.",Oui
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Universitaire (Licence),12,Oui,Connaissance avancée,Oui,Oui,Fortement intégrée dans les programmes,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,13.5,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Négatif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Remplacement partiel des enseignants.",Oui
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,15.56,Oui,Connaissance intermédiaire,Non,Non,Utilisée pour certaines tâches,3,Autre,Négatif,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Manouba,Étudiant(e),Public,Universitaire (Licence),13,Oui,Connaissance intermédiaire,Oui,Non,Très peu ou pas utilisée,4,"Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,Automatisation des tâches répétitives pour les enseignants,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Masculin,Nabeul,Étudiant(e),Privé,Universitaire (Licence),10.23,Non,Connaissance de base,Oui,Oui,Utilisée pour certaines tâches,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Oui
12-18 ans,Féminin,Nabeul ,Élève,Public,Secondaire,16.86,Oui,Connaissance de base,Non,Moyennement,Utilisée pour certaines tâches,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Automatisation des tâches répétitives pour les enseignants,Non,Perte de créativité chez les élèves.,Non
12-18 ans,Féminin,Nabeul ,Élève,Public,Secondaire,12,Oui,Aucune connaissance,Non,Oui,Très peu ou pas utilisée,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,Accès à des ressources éducatives innovantes,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Bizerte ,Étudiant(e),Public,Ingénieurie,11.45,Oui,Connaissance intermédiaire,Non,Moyennement,Très peu ou pas utilisée,5,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,Dépendance à la technologie.,Oui
18-25 ans,Féminin,Nabeul,Élève,Public,Secondaire,11.5,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,4,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Oui
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Bac,16.47,Non,Aucune connaissance,Non,Moyennement,Très peu ou pas utilisée,4,Correction automatique.,Positif,Meilleure gestion administrative,Non,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Doctorat,10.80,Oui,Connaissance de base,Non,Non,Utilisée pour certaines tâches,2,Autre,Négatif,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Oui
12-18 ans,Féminin,Nabeul ,Élève,Public,Secondaire,13,Oui,Connaissance intermédiaire,Non,Oui,Très peu ou pas utilisée,1,Génération de contenu pédagogique (ex: ChatGPT),Positif,Meilleure gestion administrative,Non,Dépendance à la technologie.,Oui
18-25 ans,Féminin,Ben Arous,Étudiant(e),Public,Universitaire (Licence),12.9,Oui,Connaissance de base,Non,Moyennement,Utilisée pour certaines tâches,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Oui
18-25 ans,Féminin,Gabes,Étudiant(e),Public,Universitaire (Master),11,Oui,Connaissance de base,Oui,Non,Fortement intégrée dans les programmes,2,Autre,Positif,"Amélioration de l’apprentissage personnalisé., Meilleure gestion administrative",Oui,Remplacement partiel des enseignants.,Oui
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,12,Oui,Connaissance de base,Oui,Moyennement,Très peu ou pas utilisée,4,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Neutre,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,10.56,Oui,Connaissance intermédiaire,Non,Moyennement,Fortement intégrée dans les programmes,5,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,"Amélioration de l’apprentissage personnalisé., Meilleure gestion administrative",Oui,Dépendance à la technologie.,Oui
18-25 ans,Féminin,Arianna,Étudiant(e),Public,Ingénieurie,13.65,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Non
12-18 ans,Féminin,Nabeul ,Étudiant(e),Public,Secondaire,14:20,Oui,Connaissance de base,Oui,Non,Très peu ou pas utilisée,3,"Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,"Amélioration de l’apprentissage personnalisé., Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
12-18 ans,Féminin,Nabeul,Étudiant(e),Public,Secondaire,12,Oui,Connaissance de base,Oui,Non,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,Automatisation des tâches répétitives pour les enseignants,Oui,Perte de créativité chez les élèves.,Oui
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Universitaire (Licence),13.22,Oui,Connaissance intermédiaire,Non,Moyennement,Fortement intégrée dans les programmes,5,"Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Remplacement partiel des enseignants.",Oui
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Universitaire (Licence),12.8,Oui,Connaissance de base,Non,Non,Utilisée pour certaines tâches,4,Correction automatique.,Positif,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire, 15.70,Non,Aucune connaissance,Non,Moyennement,Très peu ou pas utilisée,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes",Non,Perte de créativité chez les élèves.,Oui
18-25 ans,Féminin,Ben Arous,Étudiant(e),Public,Universitaire (Licence),12:56,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Arianna,Étudiant(e),Public,Universitaire (Licence),11.08,Oui,Connaissance de base,Non,Oui,Très peu ou pas utilisée,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,Accès à des ressources éducatives innovantes,Oui,Perte de créativité chez les élèves.,Oui
18-25 ans,Masculin,Nabeul,Élève,Privé,Secondaire,14,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,3.66225165562914,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Oui
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,16,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Oui
18-25 ans,Féminin,Nabeul,Étudiant(e),Public,Ingénieurie,10.6,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,4,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Neutre,"Automatisation des tâches répétitives pour les enseignants, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Non
12-18 ans,Féminin,Ben Arous,Élève,Public,Secondaire,14.59,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,2,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Positif,Amélioration de l’apprentissage personnalisé.,Non,Dépendance à la technologie.,Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,9,Oui,Connaissance intermédiaire,Non,Oui,Fortement intégrée dans les programmes,3,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Automatisation des tâches répétitives pour les enseignants,Non,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Mahdia,Étudiant(e),Public,Ingénieurie,13.5,Oui,Connaissance de base,Non,Moyennement,Utilisée pour certaines tâches,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
12-18 ans,Féminin,Tunis,Élève,Public,Secondaire,13.46,Non,Connaissance de base,Non,Non,Utilisée pour certaines tâches,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Oui,Non,Très peu ou pas utilisée,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
18-25 ans,Masculin,Sahel,Étudiant(e),Public,Ingénieurie,13.47,Oui,Connaissance intermédiaire,Oui,Non,Utilisée pour certaines tâches,4,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Négatif,"Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Universitaire (Licence),17.6,Oui,Connaissance de base,Oui,Non,Très peu ou pas utilisée,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Oui
18-25 ans,Féminin,Elkef,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Non,Oui,Utilisée pour certaines tâches,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Masculin,Tunis ,Étudiant(e),Public,Ingénieurie,13.5,Oui,Connaissance avancée,Oui,Moyennement,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,Meilleure gestion administrative,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Ben Arous,Étudiant(e),Public,Universitaire (Master),10.17,Oui,Connaissance de base,Non,Non,Utilisée pour certaines tâches,4,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Manouba ,Étudiant(e),Public,Universitaire (Licence),11,Oui,Connaissance intermédiaire,Non,Moyennement,Très peu ou pas utilisée,2,Autre,Négatif,Accès à des ressources éducatives innovantes,Non,"Perte de créativité chez les élèves., Remplacement partiel des enseignants.",Oui
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,13.78,Oui,Connaissance de base,Non,Moyennement,Utilisée pour certaines tâches,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Accès à des ressources éducatives innovantes,Oui,Remplacement partiel des enseignants.,Oui
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,12.2,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,4,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,14,Oui,Connaissance intermédiaire,Oui,Moyennement,Très peu ou pas utilisée,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Ingénieurie,3.65,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Meilleure gestion administrative",Oui,Remplacement partiel des enseignants.,Non
18-25 ans,Féminin,Gabes,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Oui,Moyennement,Fortement intégrée dans les programmes,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Ingénieurie,10,Non,Connaissance de base,Non,Moyennement,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,9 (c'était en 2eme année prepa),Oui,Connaissance de base,Oui,Moyennement,Très peu ou pas utilisée,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,Dépendance à la technologie.,Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Universitaire (Licence),16.61,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes",Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Grand Tunis ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Oui,Non,Très peu ou pas utilisée,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,4,Génération de contenu pédagogique (ex: ChatGPT),Négatif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Remplacement partiel des enseignants.",Oui
18-25 ans,Féminin,Sfax,Étudiant(e),Public,Ingénieurie,Je sais pas,Oui,Connaissance de base,Non,Oui,Très peu ou pas utilisée,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Non,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Nabeul,Étudiant(e),Public,Universitaire (Master),14,Oui,Connaissance intermédiaire,Oui,Non,Fortement intégrée dans les programmes,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Meilleure gestion administrative,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Monastir ,Étudiant(e),Public,Ingénieurie,10,Oui,Connaissance intermédiaire,Oui,Non,Fortement intégrée dans les programmes,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Oui
18-25 ans,Féminin,Nabeul ,Étudiant(e),Public,Ingénieurie,14,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,4,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Masculin,Nabeul,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Non,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
18-25 ans,Masculin,Bizerte ,Étudiant(e),Public,Universitaire (Master),11,Oui,Connaissance avancée,Oui,Non,Très peu ou pas utilisée,5,Génération de contenu pédagogique (ex: ChatGPT),Négatif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,monastir,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,4,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,Dépendance à la technologie.,Non
18-25 ans,Masculin,Nabeul,Étudiant(e),Public,Ingénieurie,13.05,Oui,Connaissance de base,Non,Oui,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Non
